Photo Numb,X [m],Y [m],Alt. ASL [,Alt. AGL [,xcoord,ycoord
1,379248.81,4699473.85,286.78,2,-76.468138248258,42.4381896215507
2,379249.79,4699474.34,286.8,2,-76.4681265006348,42.4381942465025
3,379250.76,4699474.84,286.83,1.99,-76.4681147530098,42.4381988714531
4,379251.74,4699475.34,286.85,2.02,-76.4681030053831,42.4382034964025
5,379252.71,4699475.83,286.88,2.01,-76.4680912577546,42.4382081213508
6,379253.69,4699476.33,286.9,2.01,-76.4680795101244,42.4382127462978
7,379254.66,4699476.83,286.93,2,-76.4680677624924,42.4382173712437
8,379255.64,4699477.32,286.95,2.01,-76.4680560148587,42.4382219961884
9,379256.61,4699477.82,286.98,1.99,-76.4680442672232,42.4382266211319
10,379257.59,4699478.32,287.01,2.01,-76.468032519586,42.4382312460742
11,379258.56,4699478.81,287.03,1.98,-76.468020771947,42.4382358710154
12,379259.54,4699479.31,287.06,1.98,-76.4680090243063,42.4382404959553
13,379260.51,4699479.81,287.08,1.98,-76.4679972766638,42.4382451208941
14,379261.49,4699480.3,287.11,2.01,-76.4679855290195,42.4382497458317
15,379262.46,4699480.8,287.13,2.01,-76.4679737813736,42.4382543707681
16,379263.44,4699481.3,287.16,2.02,-76.4679620337258,42.4382589957034
17,379264.41,4699481.79,287.18,2,-76.4679502860763,42.4382636206374
18,379264.97,4699480.7,287.2,2,-76.4679432789928,42.4382538553775
19,379264,4699480.2,287.18,2.03,-76.4679550266411,42.4382492304442
20,379263.02,4699479.71,287.15,1.99,-76.4679667742875,42.4382446055097
21,379262.05,4699479.21,287.13,1.98,-76.4679785219323,42.438239980574
22,379261.07,4699478.71,287.11,1.94,-76.4679902695752,42.4382353556371
23,379260.1,4699478.22,287.08,1.95,-76.4680020172164,42.438230730699
24,379259.12,4699477.72,287.06,1.95,-76.4680137648559,42.4382261057598
25,379258.14,4699477.22,287.04,1.98,-76.4680255124936,42.4382214808194
26,379257.17,4699476.73,287.01,1.97,-76.4680372601296,42.4382168558778
27,379256.19,4699476.23,286.99,1.99,-76.4680490077638,42.438212230935
28,379255.22,4699475.73,286.96,1.97,-76.4680607553962,42.4382076059911
29,379254.24,4699475.24,286.94,2,-76.4680725030269,42.4382029810459
30,379253.27,4699474.74,286.92,1.98,-76.4680842506559,42.4381983560996
31,379252.29,4699474.24,286.89,2,-76.4680959982831,42.4381937311521
32,379251.32,4699473.74,286.87,1.98,-76.4681077459085,42.4381891062034
33,379250.34,4699473.25,286.85,2,-76.4681194935322,42.4381844812536
34,379249.37,4699472.75,286.82,2,-76.4681312411542,42.4381798563025
35,379249.93,4699471.66,286.82,2,-76.4681242340526,42.4381700910538
36,379250.9,4699472.15,286.85,1.98,-76.4681124864319,42.4381747160041
37,379251.88,4699472.65,286.88,1.98,-76.4681007388095,42.4381793409533
38,379252.85,4699473.15,286.91,2,-76.4680889911853,42.4381839659012
39,379253.83,4699473.64,286.93,2,-76.4680772435594,42.438188590848
40,379254.8,4699474.14,286.96,1.99,-76.4680654959317,42.4381932157936
41,379255.78,4699474.64,286.99,1.99,-76.4680537483023,42.438197840738
42,379256.75,4699475.13,287.02,2.01,-76.4680420006711,42.4382024656812
43,379257.73,4699475.63,287.05,1.99,-76.4680302530382,42.4382070906233
44,379258.7,4699476.13,287.08,2,-76.4680185054035,42.4382117155641
45,379259.68,4699476.62,287.11,1.97,-76.468006757767,42.4382163405038
46,379260.65,4699477.12,287.13,1.96,-76.4679950101288,42.4382209654423
47,379261.63,4699477.62,287.16,1.96,-76.4679832624889,42.4382255903796
48,379262.6,4699478.12,287.19,2.01,-76.4679715148472,42.4382302153158
49,379263.58,4699478.61,287.22,2.03,-76.4679597672037,42.4382348402507
50,379264.55,4699479.11,287.25,2.05,-76.4679480195585,42.4382394651845
51,379265.53,4699479.61,287.28,2,-76.4679362719116,42.4382440901171
52,379266.09,4699478.51,287.31,2,-76.4679292648325,42.4382343248562
53,379265.11,4699478.01,287.28,2,-76.4679410124782,42.4382296999244
54,379264.14,4699477.52,287.25,2,-76.4679527601221,42.4382250749913
55,379263.16,4699477.02,287.22,1.99,-76.4679645077643,42.4382204500571
56,379262.19,4699476.52,287.19,1.95,-76.4679762554047,42.4382158251217
57,379261.21,4699476.03,287.16,1.92,-76.4679880030434,42.4382112001851
58,379260.24,4699475.53,287.12,1.91,-76.4679997506803,42.4382065752473
59,379259.26,4699475.03,287.09,1.93,-76.4680114983155,42.4382019503084
60,379258.28,4699474.54,287.06,1.94,-76.4680232459489,42.4381973253682
61,379257.31,4699474.04,287.03,1.96,-76.4680349935806,42.4381927004269
62,379256.33,4699473.54,287,1.97,-76.4680467412105,42.4381880754844
63,379255.36,4699473.05,286.97,1.96,-76.4680584888387,42.4381834505407
64,379254.38,4699472.55,286.94,2,-76.4680702364651,42.4381788255959
65,379253.41,4699472.05,286.91,2,-76.4680819840897,42.4381742006498
66,379252.43,4699471.56,286.88,2,-76.4680937317127,42.4381695757026
67,379251.46,4699471.06,286.84,1.97,-76.4681054793338,42.4381649507542
68,379250.48,4699470.56,286.81,2,-76.4681172269532,42.4381603258046
