latitude,longitude,altitude(m) 
42.438189282066,-76.4681384596719,3
42.4381940581779,-76.4681268228091,3
42.4381988342887,-76.4681151859445,2.99
42.4382036103983,-76.4681035490782,3.01
42.4382083865067,-76.4680919122101,3
42.438213162614,-76.4680802753402,3
42.4382179387201,-76.4680686384684,2.99
42.438222714825,-76.4680570015949,3
42.4382274909289,-76.4680453647196,2.97
42.4382322670315,-76.4680337278425,2.99
42.438237043133,-76.4680220909637,2.96
42.4382418192333,-76.468010454083,2.95
42.4382465953325,-76.4679988172005,2.95
42.4382513714305,-76.4679871803163,2.99
42.4382561475273,-76.4679755434302,3.02
42.438260923623,-76.4679639065424,2.99
42.4382656997176,-76.4679522696528,3
42.4382553545925,-76.467944530905,3
42.4382505784987,-76.4679561677934,3.03
42.4382458024038,-76.4679678046799,3
42.4382410263078,-76.4679794415647,3.01
42.4382362502106,-76.4679910784477,2.94
42.4382314741122,-76.4680027153288,2.95
42.4382266980127,-76.4680143522082,2.95
42.438221921912,-76.4680259890858,2.98
42.4382171458102,-76.4680376259616,2.97
42.4382123697072,-76.4680492628356,2.99
42.438207593603,-76.4680608997079,2.97
42.4382028174977,-76.4680725365783,3
42.4381980413912,-76.4680841734469,2.98
42.4381932652836,-76.4680958103138,3
42.4381884891748,-76.4681074471789,2.98
42.4381837130648,-76.4681190840421,3
42.4381789369537,-76.4681307209036,3
42.4381685918408,-76.4681229821379,3
42.4381733679511,-76.4681113452777,3.02
42.4381781440603,-76.4680997084157,3.01
42.4381829201683,-76.4680880715519,3.04
42.4381876962751,-76.4680764346864,3.03
42.4381924723808,-76.468064797819,3.02
42.4381972484853,-76.4680531609499,3.01
42.4382020245887,-76.4680415240789,3.03
42.4382068006909,-76.4680298872062,3.01
42.4382115767919,-76.4680182503317,3.02
42.4382163528918,-76.4680066134554,2.98
42.4382211289905,-76.4679949765773,2.97
42.4382259050881,-76.4679833396974,2.97
42.4382306811845,-76.4679717028157,3.02
42.4382354572798,-76.4679600659322,3.04
42.4382402333739,-76.4679484290469,3.05
42.4382450094668,-76.4679367921599,3
42.4382346643406,-76.4679290534173,3
42.4382298882484,-76.4679406903031,3
42.4382251121551,-76.4679523271871,3
42.4382203360607,-76.4679639640693,2.99
42.4382155599651,-76.4679756009497,2.95
42.4382107838683,-76.4679872378283,2.91
42.4382060077704,-76.4679988747051,2.91
42.4382012316713,-76.4680105115801,2.93
42.438196455571,-76.4680221484534,2.94
42.4381916794696,-76.4680337853248,2.99
42.4381869033671,-76.4680454221945,2.97
42.4381821272633,-76.4680570590623,2.98
42.4381773511585,-76.4680686959284,3
42.4381725750524,-76.4680803327927,3.02
42.4381677989452,-76.4680919696552,3
42.4381630228369,-76.4681036065159,3.01
42.4381582467273,-76.4681152433748,3
